State_x,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,State_y,Latitude,Longitude
20,Kansas,2903820.0,36.3,55477.0,29600.0,361285.0,12.441714706834446,2.445365070837724,Kansas,38.4937,-98.3804
21,Kentucky,4424376.0,38.6,46535.0,25888.0,783586.0,17.710655694723958,3.1804937012586634,Kentucky,37.5347,-85.3021
23,Maine,1330158.0,44.3,53024.0,29886.0,166904.0,12.547682305410335,2.765836840435497,Maine,45.3695,-69.2428
22,Louisiana,4663461.0,36.4,46710.0,26205.0,887574.0,19.03251683674421,3.3705867809337313,Louisiana,31.0689,-91.9968
25,Massachusetts,6789319.0,39.4,74167.0,39913.0,727546.0,10.71603794136054,3.3119080131600827,Massachusetts,42.2596,-71.8083
24,Maryland,5996079.0,38.5,78916.0,39070.0,566966.0,9.455612576151848,3.308412047272893,Maryland,39.055,-76.7909
26,Michigan,9925568.0,39.6,52668.0,28938.0,1510841.0,15.221708218612779,3.643358244082354,Michigan,44.3467,-85.4102
27,Minnesota,5490726.0,37.9,65699.0,34712.0,560995.0,10.217137041622546,2.3769170051464963,Minnesota,46.2807,-94.3053
28,Mississippi,2986220.0,36.9,42009.0,22500.0,620007.0,20.762268017761585,3.944317565350175,Mississippi,32.7364,-89.6678
29,Missouri,6075300.0,38.4,51542.0,28282.0,861679.0,14.183316050236202,2.895643013513736,Missouri,38.3566,-92.458
30,Montana,1029862.0,39.8,50801.0,28706.0,144198.0,14.001681778723752,2.43488933468756,Montana,47.0527,-109.6333
31,Nebraska,1893921.0,36.3,56675.0,29866.0,220330.0,11.633536984911197,2.0529367381216006,Nebraska,41.5378,-99.7951
33,New Hampshire,1331848.0,42.7,71305.0,36914.0,104470.0,7.843988202857984,2.5202575669295597,New Hampshire,43.6805,-71.5811
32,Nevada,2887725.0,37.7,55434.0,28450.0,405263.0,14.033988693521717,4.026872364923945,Nevada,39.3289,-116.6312
34,New Jersey,8960161.0,39.6,76475.0,39069.0,938252.0,10.471374342492282,3.662512314231854,New Jersey,40.1907,-74.6728
35,New Mexico,2084828.0,37.3,46718.0,25257.0,420293.0,20.159600696076605,3.5355434597002726,New Mexico,34.4071,-106.1126
36,New York,19798228.0,38.4,62765.0,35752.0,2908471.0,14.690562205870142,3.4617643558807383,New York,42.9538,-75.5268
37,North Carolina,10052564.0,38.4,50320.0,28123.0,1579871.0,15.716099892524932,3.504449213155967,North Carolina,35.5557,-79.3877
38,North Dakota,745475.0,35.1,61285.0,34256.0,79374.0,10.647439551963513,1.4869713940776015,North Dakota,47.4501,-100.4659
39,Ohio,11609756.0,39.3,52407.0,29011.0,1683890.0,14.504094659698275,3.2622132627076743,Ohio,40.2862,-82.7937
40,Oklahoma,3896251.0,36.3,49767.0,26461.0,612714.0,15.725732248769393,2.704522886230892,Oklahoma,35.5889,-97.4943
41,Oregon,4025127.0,39.2,56119.0,30410.0,587248.0,14.589552081213835,3.4319165581607733,Oregon,43.9336,-120.5583
42,Pennsylvania,12790505.0,40.7,56951.0,31476.0,1623537.0,12.693298661780752,3.2994475198594584,Pennsylvania,40.8781,-77.7996
44,Rhode Island,1056138.0,39.9,61043.0,33315.0,136126.0,12.889035334397589,3.658044687341995,Rhode Island,41.6762,-71.5562
45,South Carolina,4893444.0,39.0,48781.0,26645.0,790657.0,16.157475185166113,3.4792877981233667,South Carolina,33.9169,-80.8964
46,South Dakota,855444.0,36.8,54126.0,28761.0,114885.0,13.429867998372774,1.9893762771145744,South Dakota,44.4443,-100.2263
47,Tennessee,6597381.0,38.6,48708.0,27277.0,1072360.0,16.25432880108031,3.194540378977658,Tennessee,35.858000000000004,-86.3505
48,Texas,27419612.0,34.3,57051.0,28985.0,4291384.0,15.650783096420183,2.86250585894505,Texas,31.4757,-99.3312
49,Utah,2993941.0,30.5,65325.0,26907.0,324856.0,10.850447620711297,2.1481385237718444,Utah,39.3055,-111.6703
50,Vermont,624636.0,42.8,57808.0,31917.0,68144.0,10.909393630850607,2.3964356841424443,Vermont,44.0687,-72.6658
51,Virginia,8365952.0,38.0,68766.0,36268.0,906838.0,10.839627098027815,2.828703774537554,Virginia,37.5215,-78.8537
54,West Virginia,1836843.0,42.2,44061.0,24774.0,317089.0,17.262716519593674,3.1390271242561285,West Virginia,38.6409,-80.6227
53,Washington,7169967.0,37.6,66174.0,34869.0,859950.0,11.993779050865925,3.0519108386412377,Washington,47.3826,-120.4472
56,Wyoming,583200.0,37.0,60938.0,31214.0,63398.0,10.87071330589849,2.4792524005486967,Wyoming,42.9957,-107.5512
55,Wisconsin,5763217.0,39.2,56759.0,30557.0,692719.0,12.019658465055194,2.520658167131309,Wisconsin,44.6243,-89.9941
